subID,stimFile,stimType,valenceRating,arousalRating
0,sa/boo_walk_sa_2_fin.mp4,videos,22,76
0,N/13b03Na.wav,sounds,51,49
0,W/08b02Wd.wav,sounds,29,61
0,T/13a07Tc.wav,sounds,30,13
0,A/10b09Ad.wav,sounds,36,47
0,N/13b09Na.wav,sounds,64,51
0,W/14a07Wc.wav,sounds,28,58
0,ha/boo_walk_ha_2_fin.mp4,videos,24,91
0,sa/ale_walk_sa_1_fin.mp4,videos,26,26
0,L/12a07La.wav,sounds,23,26
0,nu/ian_walk_nu_2_fin.mp4,videos,70,47
0,F/10b01Fa.wav,sounds,68,57
0,E/14a07Eb.wav,sounds,30,33
0,an/amc_walk_an_2_fin.mp4,videos,41,45
0,A/10b01Aa.wav,sounds,15,65
0,W/14a01Wc.wav,sounds,44,49
0,an/ele_walk_an_2_fin.mp4,videos,50,49
0,L/14a07Lc.wav,sounds,53,51
0,nu/she_walk_nu_2_fin.mp4,videos,51,52
0,T/09b02Tb.wav,sounds,27,27
0,sa/ros_walk_sa_1_fin.mp4,videos,33,34
0,N/08b09Nb.wav,sounds,64,54
0,ha/ste_walk_ha_1_fin.mp4,videos,30,31
0,E/16b02Eb.wav,sounds,33,62
0,F/13a01Fd.wav,sounds,71,74
0,ha/dav_walk_ha_1_fin.mp4,videos,50,50
0,L/11a01Ld.wav,sounds,50,49
0,E/15a01Ea.wav,sounds,37,47
0,N/09b03Nb.wav,sounds,51,49
0,A/03a05Aa.wav,sounds,43,63
0,sa/mar_walk_sa_1_fin.mp4,videos,31,43
0,F/13b10Fa.wav,sounds,71,72
0,nu/boo_walk_nu_1_fin.mp4,videos,49,81
0,W/16a04Wb.wav,sounds,37,63
0,an/boo_walk_an_2_fin.mp4,videos,12,92
0,T/13a04Ta.wav,sounds,16,19
1,ha/gra_walk_ha_2_fin.mp4,videos,50,28
1,W/16a01Wb.wav,sounds,18,87
1,L/03a04Lc.wav,sounds,14,14
1,nu/kat_walk_nu_2_fin.mp4,videos,48,30
1,A/16a05Ab.wav,sounds,35,68
1,F/03a04Fd.wav,sounds,68,76
1,T/16b10Tb.wav,sounds,51,37
1,sa/dun_walk_sa_2_fin.mp4,videos,24,50
1,an/ali_walk_an_1_fin.mp4,videos,75,53
1,E/14a07Eb.wav,sounds,21,41
1,N/08a02Na.wav,sounds,62,63
1,L/16a02Lb.wav,sounds,11,38
1,nu/gra_walk_nu_1_fin.mp4,videos,23,23
1,N/03a07Nc.wav,sounds,49,50
1,an/lin_walk_an_2_fin.mp4,videos,35,85
1,E/14a01Ea.wav,sounds,6,27
1,ha/alx_walk_ha_2_fin.mp4,videos,22,17
1,sa/emm_walk_sa_1_fin.mp4,videos,12,9
1,W/15a04Wb.wav,sounds,15,82
1,F/13b02Fb.wav,sounds,90,84
1,A/11a07Ac.wav,sounds,27,81
1,T/08a07Tb.wav,sounds,19,47
1,sa/emm_walk_sa_1_fin.mp4,videos,37,50
1,nu/ndy_walk_nu_1_fin.mp4,videos,38,65
1,F/08a07Fd.wav,sounds,91,78
1,T/10a05Tb.wav,sounds,49,65
1,ha/ros_walk_ha_2_fin.mp4,videos,65,51
1,N/11b10Nc.wav,sounds,68,87
1,L/12a05Lb.wav,sounds,37,68
1,W/11a05Wd.wav,sounds,35,82
1,E/15a07Eb.wav,sounds,13,49
1,A/15a07Ac.wav,sounds,35,83
1,an/alx_walk_an_1_fin.mp4,videos,40,62
1,sa/mil_walk_sa_2_fin.mp4,videos,50,14
1,N/10a02Na.wav,sounds,49,64
1,nu/mar_walk_nu_2_fin.mp4,videos,77,70
1,F/11b03Fc.wav,sounds,92,87
1,L/10b03La.wav,sounds,26,27
1,an/ali_walk_an_2_fin.mp4,videos,50,66
1,T/12b03Ta.wav,sounds,43,15
1,W/15b09Wb.wav,sounds,19,88
1,ha/pet_walk_ha_2_fin.mp4,videos,21,82
1,E/14b09Ea.wav,sounds,9,10
1,A/12a02Ac.wav,sounds,57,92
1,N/14a01Na.wav,sounds,49,65
1,W/11a05Wd.wav,sounds,10,89
1,an/mil_walk_an_2_fin.mp4,videos,81,81
1,L/10a05Ld.wav,sounds,40,26
1,nu/lin_walk_nu_2_fin.mp4,videos,83,50
1,ha/ste_walk_ha_2_fin.mp4,videos,59,48
1,T/16b10Tb.wav,sounds,37,9
1,A/14a01Ac.wav,sounds,21,88
1,F/08b02Ff.wav,sounds,85,91
1,E/15a07Eb.wav,sounds,16,41
1,sa/ian_walk_sa_2_fin.mp4,videos,36,21
1,nu/amc_walk_nu_2_fin.mp4,videos,61,51
1,N/16a04Nc.wav,sounds,57,69
1,an/jan_walk_an_1_fin.mp4,videos,14,89
1,E/16b09Eb.wav,sounds,20,48
1,T/16a02Tc.wav,sounds,29,5
1,sa/din_walk_sa_2_fin.mp4,videos,25,68
1,A/11a04Ac.wav,sounds,79,80
1,F/08b10Fd.wav,sounds,87,81
1,ha/dav_walk_ha_1_fin.mp4,videos,51,33
1,L/15a07Ld.wav,sounds,41,61
1,W/14a07Wc.wav,sounds,15,84
1,E/09a05Ed.wav,sounds,20,14
1,nu/jen_walk_nu_2_fin.mp4,videos,67,52
1,ha/mil_walk_ha_2_fin.mp4,videos,76,83
1,A/16a05Ab.wav,sounds,19,86
1,W/03b09Wa.wav,sounds,25,86
1,sa/amc_walk_sa_2_fin.mp4,videos,34,22
1,T/16b10Tb.wav,sounds,41,21
1,N/09a04Nb.wav,sounds,32,28
1,L/12b03La.wav,sounds,38,73
1,F/15a01Fb.wav,sounds,79,86
1,an/chr_walk_an_2_fin.mp4,videos,4,93
1,T/12b09Td.wav,sounds,49,11
1,F/13b09Fb.wav,sounds,96,88
1,N/03a04Nc.wav,sounds,50,74
1,L/16b01La.wav,sounds,34,50
1,W/08a04Wc.wav,sounds,11,88
1,A/11a01Aa.wav,sounds,65,70
1,an/pet_walk_an_1_fin.mp4,videos,40,82
1,ha/ros_walk_ha_1_fin.mp4,videos,38,50
1,E/09a05Ed.wav,sounds,12,9
1,nu/amc_walk_nu_2_fin.mp4,videos,50,50
