,sc,duration,numOnsets,onsetStrength
sc,1.0,-0.000723000596303,-0.073901695332,0.258281913949
duration,-0.000723000596303,1.0,0.669086174414,-0.0494550201311
numOnsets,-0.073901695332,0.669086174414,1.0,0.13089549552
onsetStrength,0.258281913949,-0.0494550201311,0.13089549552,1.0
